child,parent1,parent2
Tanzee,Lifmunk,Beegarde
Tanzee,Chikipi,Robinquill Terra
Tanzee,Cattiva,Gorirat
Tanzee,Lamball,Galeclaw
Tanzee,Gobfin,Flambelle
Tanzee,Tocotoco,Wixen
Tanzee,Mau Cryst,Direhowl
Tanzee,Mau,Robinquill
Tanzee,Killamari,Dazzi
Tanzee,Fuddler,Flopie
Tanzee,Nox,Bristla
Tanzee,Daedream,Kelpsea Ignis
Tanzee,Cremis,Vaelet
Tanzee,Cremis,Gorirat
Tanzee,Depresso,Leezpunk
Tanzee,Teafant,Felbat
Tanzee,Hoocrates,Lunaris
Tanzee,Woolipop,Ribbuny
Tanzee,Hangyu Cryst,Cawgnito
Tanzee,Hangyu,Cawgnito
Tanzee,Gobfin Ignis,Flambelle
Tanzee,Lamball,Gorirat Terra
Tanzee,Pengullet,Wixen Noct
Tanzee,Jolthog,Kikit
Tanzee,Depresso,Kikit
Tanzee,Swee,Mimog
Tanzee,Hoocrates,Dazzi Noct
Tanzee,Depresso,Dazzi Noct
Tanzee,Swee,Ribbuny Botan
Tanzee,Killamari,Ribbuny Botan
Tanzee,Kelpsea,Smokie
Tanzee,Tanzee,Smokie
Tanzee,Mimog,Foxparks Cryst
Tanzee,Woolipop,Foxparks Cryst
Tanzee,Herbil,Direhowl
Tanzee,Herbil,Vaelet
Tanzee,Jellroy,Lunaris
Tanzee,Jellroy,Gobfin Ignis
Tanzee,Jellroy,Turtacle
Tanzee,Jelliette,Leezpunk
Tanzee,Jelliette,Dazzi Noct
Tanzee,Jelliette,Lunaris
Tanzee,Munchill,Wixen
Tanzee,Pengullet Lux,Woolipop
Tanzee,Pengullet Lux,Gloopie
Tanzee,Finsider,Dazzi
Tanzee,Finsider,Ribbuny Botan
Tanzee,Finsider,Mimog
Tanzee,Fuack Ignis,Dazzi
Tanzee,Fuack Ignis,Ribbuny Botan
Tanzee,Finsider Ignis,Tanzee
Tanzee,Finsider Ignis,Smokie
Tanzee,Finsider Ignis,Gumoss
Tanzee,Finsider Ignis,Killamari Primo
Tanzee,Killamari Primo,Tanzee
Tanzee,Killamari Primo,Smokie
Tanzee,Gloopie,Ribbuny
Tanzee,Gloopie,Foxparks Cryst
Tanzee,Gloopie,Swee
Tanzee,Turtacle,Foxparks
Tanzee,Turtacle,Hoocrates
Tanzee,Turtacle Terra,Mau Cryst
Tanzee,Turtacle Terra,Lifmunk
Rooby,Hoocrates,Eikthyrdeer
Rooby,Vixy,Broncherry
Rooby,Gumoss,Beegarde
Rooby,Jolthog Cryst,Loupmoon
Rooby,Jolthog,Lovander
Rooby,Rooby,Maraith
Rooby,Rooby,Rooby
Rooby,Tanzee,Direhowl
Rooby,Sparkit,Dumud
Rooby,Sparkit,Eikthyrdeer Terra
Rooby,Fuack,Fenglope
Rooby,Foxparks,Mozzarina
Rooby,Lifmunk,Reindrix
Rooby,Chikipi,Dinossom Lux
Rooby,Cattiva,Digtoise
Rooby,Lamball,Broncherry Aqua
Rooby,Bristla,Verdash
Rooby,Flopie,Galeclaw
Rooby,Mau Cryst,Celaray
Rooby,Mau,Kitsun
Rooby,Killamari,Robinquill
Rooby,Fuddler,Gobfin
Rooby,Rushoar,Nox
Rooby,Daedream,Cawgnito
Rooby,Cremis,Digtoise
Rooby,Depresso,Caprity
Rooby,Teafant,Dinossom
Rooby,Ribbuny,Robinquill Terra
Rooby,Eikthyrdeer Terra,Flambelle
Rooby,Woolipop,Leezpunk
Rooby,Hangyu Cryst,Melpaca
Rooby,Hangyu,Melpaca
Rooby,Gobfin Ignis,Dazzi
Rooby,Maraith,Wixen
Rooby,Swee,Felbat
Rooby,Gorirat,Kelpsea Ignis
Rooby,Vaelet,Kelpsea
Rooby,Foxparks,Lullu
Rooby,Rooby,Wixen Noct
Rooby,Jolthog Cryst,Yakumo
Rooby,Nox,Kikit
Rooby,Flopie,Gorirat Terra
Rooby,Lunaris,Mimog
Rooby,Flambelle,Lullu
Rooby,Wixen,Wixen Noct
Rooby,Chikipi,Loupmoon Cryst
Rooby,Teafant,Celesdir
Rooby,Mau,Tarantriss
Rooby,Lamball,Fenglope Lux
Rooby,Cremis,Caprity Noct
Rooby,Vixy,Caprity Noct
Rooby,Woolipop,Dazzi Noct
Rooby,Gobfin Ignis,Ribbuny Botan
Rooby,Direhowl,Smokie
Rooby,Robinquill Terra,Foxparks Cryst
Rooby,Herbil,Broncherry
Rooby,Jellroy,Mozzarina
Rooby,Jelliette,Eikthyrdeer
Rooby,Pengullet Lux,Robinquill Terra
Rooby,Finsider,Felbat
Rooby,Fuack Ignis,Robinquill
Rooby,Finsider Ignis,Vaelet
Rooby,Killamari Primo,Direhowl
Rooby,Gloopie,Dazzi Noct
Rooby,Gloopie,Lunaris
Rooby,Turtacle,Ribbuny Botan
Rooby,Turtacle,Mimog
Rooby,Turtacle Terra,Smokie
Rooby,Turtacle Terra,Gumoss
Rooby,Dumud Gild,Cremis
Rooby,Dumud Gild,Vixy
Rooby,Celaray Lux,Mau
Pengullet,Hoocrates,Ribbuny
Pengullet,Hoocrates,Bristla
Pengullet,Vixy,Kelpsea
Pengullet,Gumoss,Cremis
Pengullet,Jolthog Cryst,Tocotoco
Pengullet,Jolthog,Tocotoco
Pengullet,Pengullet,Jolthog Cryst
Pengullet,Pengullet,Pengullet
Pengullet,Tanzee,Cremis
Pengullet,Tanzee,Vixy
Pengullet,Sparkit,Swee
Pengullet,Sparkit,Killamari
Pengullet,Fuack,Depresso
Pengullet,Fuack,Jolthog
Pengullet,Foxparks,Swee
Pengullet,Foxparks,Ribbuny
Pengullet,Lifmunk,Kelpsea Ignis
Pengullet,Lifmunk,Flopie
Pengullet,Chikipi,Dazzi
Pengullet,Cattiva,Gumoss
Pengullet,Cattiva,Tanzee
Pengullet,Lamball,Daedream
Pengullet,Lamball,Gumoss
Pengullet,Flopie,Hangyu Cryst
Pengullet,Flopie,Hangyu
Pengullet,Mau Cryst,Kelpsea Ignis
Pengullet,Mau Cryst,Kelpsea
Pengullet,Killamari,Flambelle
Pengullet,Killamari,Hangyu Cryst
Pengullet,Killamari,Hangyu
Pengullet,Mau,Fuddler
Pengullet,Mau,Daedream
Pengullet,Cremis,Kelpsea
Pengullet,Depresso,Bristla
Pengullet,Teafant,Dazzi
Pengullet,Teafant,Fuddler
Pengullet,Ribbuny,Flambelle
Pengullet,Hangyu Cryst,Kelpsea Ignis
Pengullet,Swee,Flambelle
Pengullet,Chikipi,Mimog
Pengullet,Chikipi,Ribbuny Botan
Pengullet,Teafant,Ribbuny Botan
Pengullet,Lamball,Smokie
Pengullet,Cattiva,Smokie
Pengullet,Cremis,Smokie
Pengullet,Vixy,Smokie
Pengullet,Sparkit,Foxparks Cryst
Pengullet,Flambelle,Foxparks Cryst
Pengullet,Foxparks,Foxparks Cryst
Pengullet,Hoocrates,Foxparks Cryst
Pengullet,Herbil,Kelpsea Ignis
Pengullet,Herbil,Kelpsea
Pengullet,Herbil,Tanzee
Pengullet,Herbil,Finsider Ignis
Pengullet,Herbil,Killamari Primo
Pengullet,Jellroy,Bristla
Pengullet,Jellroy,Ribbuny
Pengullet,Jellroy,Foxparks Cryst
Pengullet,Jellroy,Swee
Pengullet,Jellroy,Pengullet Lux
Pengullet,Jelliette,Fuack
Pengullet,Jelliette,Bristla
Pengullet,Jelliette,Ribbuny
Pengullet,Jelliette,Pengullet Lux
Pengullet,Munchill,Depresso
Pengullet,Munchill,Jolthog
Pengullet,Munchill,Jolthog Cryst
Pengullet,Pengullet Lux,Flambelle
Pengullet,Pengullet Lux,Foxparks
Pengullet,Pengullet Lux,Hoocrates
Pengullet,Finsider,Hangyu Cryst
Pengullet,Finsider,Hangyu
Pengullet,Finsider,Sparkit
Pengullet,Finsider,Flambelle
Pengullet,Finsider,Foxparks
Pengullet,Fuack Ignis,Hangyu Cryst
Pengullet,Fuack Ignis,Hangyu
Pengullet,Fuack Ignis,Sparkit
Pengullet,Fuack Ignis,Flambelle
Pengullet,Finsider Ignis,Cattiva
Pengullet,Finsider Ignis,Cremis
Pengullet,Finsider Ignis,Vixy
Pengullet,Finsider Ignis,Mau Cryst
Pengullet,Killamari Primo,Cattiva
Pengullet,Killamari Primo,Cremis
Pengullet,Killamari Primo,Vixy
Pengullet,Gloopie,Chikipi
Pengullet Lux,Sparkit,Pengullet
Pengullet Lux,Pengullet Lux,Pengullet Lux
Penking,Penking,Grintale
Penking,Penking,Penking
Penking,Mozzarina,Frostallion
Penking,Mozzarina,Cryolinx
Penking,Loupmoon,Jetragon
Penking,Loupmoon,Paladius
Penking,Dumud,Orserk
Penking,Arsox,Lyleen
Penking,Arsox,Pyrin Noct
Penking,Cinnamoth,Elphidran
Penking,Cinnamoth,Surfent Terra
Penking,Incineram Noct,Wumpo
Penking,Incineram Noct,Sibelyx
Penking,Incineram,Kingpaca Cryst
Penking,Incineram,Sibelyx
Penking,Nitewing,Vanwyrm Cryst
Penking,Eikthyrdeer Terra,Orserk
Penking,Eikthyrdeer Terra,Cryolinx
Penking,Eikthyrdeer,Frostallion
Penking,Melpaca,Orserk
Penking,Melpaca,Astegon
Penking,Caprity,Frostallion Noct
Penking,Mossanda Lux,Bushi
Penking,Vanwyrm,Faleris
Penking,Vanwyrm,Ragnahawk
Penking,Lovander,Jetragon
Penking,Lovander,Frostallion Noct
Penking,Tombat,Mammorest Cryst
Penking,Tombat,Relaxaurus
Penking,Digtoise,Helzephyr
Penking,Surfent Terra,Wumpo Botan
Penking,Surfent,Wumpo Botan
Penking,Surfent,Kingpaca
Penking,Dinossom Lux,Reptyro Cryst
Penking,Dinossom Lux,Beakon
Penking,Dinossom,Lyleen Noct
Penking,Dinossom,Beakon
Penking,Kitsun,Lyleen Noct
Penking,Kitsun,Grizzbolt
Penking,Rayhound,Mammorest Cryst
Penking,Rayhound,Mammorest
Penking,Reindrix,Astegon
Penking,Pyrin,Blazehowl Noct
Penking,Foxcicle,Relaxaurus Lux
Penking,Foxcicle,Relaxaurus
Penking,Univolt,Quivern
Penking,Univolt,Pyrin
Penking,Chillet,Reptyro Cryst
Penking,Chillet,Pyrin Noct
Penking,Sweepa,Vanwyrm Cryst
Penking,Grintale,Elphidran Aqua
Penking,Elizabee,Blazehowl
Penking,Elizabee,Katress
Penking,Robinquill Terra,Suzaku Aqua
Penking,Robinquill,Blazamut
Penking,Galeclaw,Blazamut
Penking,Felbat,Suzaku Aqua
Penking,Fenglope,Shadowbeak
Penking,Fenglope,Suzaku
Penking,Wumpo,Anubis
Penking,Kingpaca,Anubis
Penking,Petallia,Lyleen
Penking,Petallia,Menasting
Penking,Broncherry Aqua,Grizzbolt
Penking,Broncherry Aqua,Helzephyr
Penking,Blazehowl Noct,Faleris
Penking,Blazehowl,Reptyro
Penking,Elphidran Aqua,Azurobe
Penking,Elphidran,Azurobe
Penking,Verdash,Suzaku
Penking,Katress,Warsect
Penking,Mossanda Lux,Bushi Noct
Penking,Cinnamoth,Sootseer
Penking,Arsox,Menasting Terra
Penking,Galeclaw,Bellanoir
Penking,Galeclaw,Bellanoir Libero
Penking,Galeclaw,Blazamut Ryu
Penking,Robinquill,Blazamut Ryu
Penking,Gorirat,Bellanoir
Penking,Gorirat,Bellanoir Libero
Penking,Univolt,Prixter
Penking,Pyrin,Dazemu
Penking,Pyrin Noct,Chillet Ignis
Penking,Pyrin Noct,Croajiro
Penking,Digtoise,Helzephyr Lux
Penking,Ragnahawk,Bushi Noct
Penking,Katress,Quivern Botan
Penking,Cryolinx,Lullu
Penking,Broncherry,Helzephyr Lux
Penking,Petallia,Menasting Terra
Penking,Reptyro,Shroomer
Penking,Mammorest,Shroomer Noct
Penking,Warsect,Katress Ignis
Penking,Quivern,Katress Ignis
Penking,Blazamut,Gorirat Terra
Penking,Anubis,Xenovader
Penking,Jormuntide,Shroomer
Penking,Jormuntide,Shroomer Noct
Penking,Jormuntide Ignis,Shroomer
Penking,Lyleen,Chillet Ignis
Penking,Faleris,Dogen
Penking,Jetragon,Yakumo
Penking,Bellanoir,Gorirat Terra
Penking,Bellanoir Libero,Gorirat Terra
Penking,Gorirat Terra,Blazamut Ryu
Penking,Chillet Ignis,Menasting Terra
Penking,Katress Ignis,Quivern Botan
Penking,Katress Ignis,Selyne
Penking,Prixter,Dazemu
Penking,Reindrix,Cryolinx Terra
Penking,Celaray,Bastigor
Penking,Celaray,Cryolinx Terra
Penking,Broncherry,Bastigor
Penking,Tarantriss,Silvegis
Penking,Dinossom,Silvegis
Penking,Croajiro,Faleris Aqua
Penking,Arsox,Faleris Aqua
Penking,Chillet Ignis,Faleris Aqua
Penking,Foxcicle,Warsect Terra
Penking,Dazemu,Starryon
Penking,Blazehowl Noct,Starryon
Penking,Dogen,Starryon
Penking,Bushi,Azurmane
Penking,Omascul,Azurmane
Penking,Elphidran Aqua,Gildane
Penking,Sweepa,Omascul
Penking,Mossanda Lux,Nyafia
Penking,Elizabee,Nitemary
Penking,Jormuntide Ignis,Splatterina
Penking,Jormuntide,Splatterina
Penking,Mammorest,Kitsun Noct
Penking,Relaxaurus,Prunelia
Penking,Warsect Terra,Prunelia
Penking,Reptyro Cryst,Loupmoon Cryst
Penking,Beakon,Celesdir
Penking,Silvegis,Celesdir
Penking,Lyleen Noct,Tarantriss
Penking,Grizzbolt,Fenglope Lux
Penking,Helzephyr Lux,Caprity Noct
Penking,Dumud Gild,Helzephyr Lux
Penking,Celaray Lux,Lyleen Noct
Penking,Celaray Lux,Grizzbolt
Penking,Croajiro Noct,Warsect Terra
Penking,Croajiro Noct,Relaxaurus Lux
Penking,Croajiro Noct,Knocklem
Penking,Croajiro Noct,Xenolord
Penking,Polapup,Mammorest Cryst
Penking,Frostplume,Ragnahawk
Penking,Icelyn,Xenogard
Penking,Icelyn,Mossanda
Penking,Icelyn,Whalaska Ignis
Penking,Ghangler,Grintale
Penking,Ghangler,Gildane
Penking,Ghangler,Ghangler Ignis
Penking,Ghangler Ignis,Elphidran Aqua
Penking,Penking Lux,Surfent Terra
Penking,Penking Lux,Sootseer
Penking,Penking Lux,Elphidran
Penking,Azurobe Cryst,Surfent
Penking,Azurobe Cryst,Surfent Terra
Penking,Palumba,Incineram Noct
Penking,Whalaska,Incineram
Penking,Braloha,Nitemary
Penking,Braloha,Katress
Penking,Neptilius,Loupmoon
Penking,Neptilius,Yakumo
Penking,Neptilius,Lovander
Penking Lux,Penking,Rayhound
Penking Lux,Penking Lux,Penking Lux
Jolthog,Hoocrates,Tocotoco
Jolthog,Vixy,Kelpsea Ignis
Jolthog,Vixy,Swee
Jolthog,Vixy,Flopie
Jolthog,Vixy,Killamari
Jolthog,Mau,Gumoss
Jolthog,Teafant,Gumoss
Jolthog,Jolthog Cryst,Depresso
Jolthog,Jolthog Cryst,Hoocrates
Jolthog,Jolthog,Depresso
Jolthog,Jolthog,Jolthog Cryst
Jolthog,Jolthog,Jolthog
Jolthog,Pengullet,Depresso
Jolthog,Pengullet,Hoocrates
Jolthog,Mau,Tanzee
Jolthog,Teafant,Tanzee
Jolthog,Sparkit,Ribbuny
Jolthog,Sparkit,Bristla
Jolthog,Sparkit,Tocotoco
Jolthog,Fuack,Hangyu
Jolthog,Fuack,Hoocrates
Jolthog,Fuack,Sparkit
Jolthog,Foxparks,Bristla
Jolthog,Foxparks,Tocotoco
Jolthog,Foxparks,Pengullet
Jolthog,Foxparks,Fuack
Jolthog,Lifmunk,Swee
Jolthog,Lifmunk,Ribbuny
Jolthog,Lifmunk,Bristla
Jolthog,Lifmunk,Killamari
Jolthog,Chikipi,Fuddler
Jolthog,Chikipi,Daedream
Jolthog,Chikipi,Gumoss
Jolthog,Chikipi,Tanzee
Jolthog,Cattiva,Kelpsea Ignis
Jolthog,Cattiva,Kelpsea
Jolthog,Cattiva,Flopie
Jolthog,Cattiva,Killamari
Jolthog,Lamball,Kelpsea Ignis
Jolthog,Lamball,Kelpsea
Jolthog,Lamball,Flopie
Jolthog,Lamball,Tanzee
Jolthog,Bristla,Flambelle
Jolthog,Bristla,Hangyu Cryst
Jolthog,Bristla,Hangyu
Jolthog,Tocotoco,Flambelle
Jolthog,Mau Cryst,Swee
Jolthog,Mau Cryst,Ribbuny
Jolthog,Mau Cryst,Flopie
Jolthog,Mau,Kelpsea Ignis
Jolthog,Mau,Kelpsea
Jolthog,Killamari,Mau Cryst
Jolthog,Cremis,Kelpsea Ignis
Jolthog,Cremis,Flopie
Jolthog,Cremis,Killamari
Jolthog,Depresso,Tocotoco
Jolthog,Teafant,Kelpsea
Jolthog,Teafant,Daedream
Jolthog,Hangyu Cryst,Swee
Jolthog,Hangyu Cryst,Ribbuny
Jolthog,Hangyu,Ribbuny
Jolthog,Chikipi,Smokie
Jolthog,Teafant,Smokie
Jolthog,Mau,Smokie
Jolthog,Mau Cryst,Foxparks Cryst
Jolthog,Lifmunk,Foxparks Cryst
Jolthog,Hangyu Cryst,Foxparks Cryst
Jolthog,Hangyu,Foxparks Cryst
Jolthog,Herbil,Foxparks Cryst
Jolthog,Herbil,Swee
Jolthog,Herbil,Killamari
Jolthog,Herbil,Flopie
Jolthog,Herbil,Finsider
Jolthog,Herbil,Fuack Ignis
Jolthog,Jellroy,Pengullet
Jolthog,Jellroy,Tocotoco
Jolthog,Jellroy,Fuack
Jolthog,Jellroy,Munchill
Jolthog,Jelliette,Jolthog Cryst
Jolthog,Jelliette,Pengullet
Jolthog,Jelliette,Tocotoco
Jolthog,Jelliette,Munchill
Jolthog,Munchill,Sparkit
Jolthog,Munchill,Flambelle
Jolthog,Munchill,Foxparks
Jolthog,Munchill,Hoocrates
Jolthog,Pengullet Lux,Mau Cryst
Jolthog,Pengullet Lux,Lifmunk
Jolthog,Pengullet Lux,Hangyu Cryst
Jolthog,Pengullet Lux,Hangyu
Jolthog,Pengullet Lux,Sparkit
Jolthog,Finsider,Cremis
Jolthog,Finsider,Vixy
Jolthog,Finsider,Mau Cryst
Jolthog,Finsider,Lifmunk
Jolthog,Fuack Ignis,Cattiva
Jolthog,Fuack Ignis,Cremis
Jolthog,Fuack Ignis,Vixy
Jolthog,Fuack Ignis,Mau Cryst
Jolthog,Fuack Ignis,Lifmunk
Jolthog,Finsider Ignis,Teafant
Jolthog,Finsider Ignis,Mau
Jolthog,Finsider Ignis,Lamball
Jolthog,Killamari Primo,Chikipi
Jolthog,Killamari Primo,Teafant
Jolthog,Killamari Primo,Mau
Jolthog,Killamari Primo,Lamball
Jolthog Cryst,Jolthog Cryst,Jolthog Cryst
Jolthog Cryst,Pengullet,Jolthog
Gumoss,Hoocrates,Gobfin
Gumoss,Vixy,Galeclaw
Gumoss,Gumoss,Gumoss
Gumoss,Jolthog Cryst,Leezpunk
Gumoss,Jolthog,Lunaris
Gumoss,Pengullet,Rushoar
Gumoss,Rooby,Bristla
Gumoss,Tanzee,Daedream
Gumoss,Sparkit,Beegarde
Gumoss,Fuack,Maraith
Gumoss,Foxparks,Cawgnito
Gumoss,Lifmunk,Vaelet
Gumoss,Chikipi,Fenglope
Gumoss,Cattiva,Robinquill
Gumoss,Lamball,Felbat
Gumoss,Bristla,Wixen
Gumoss,Tocotoco,Leezpunk Ignis
Gumoss,Direhowl,Hangyu Cryst
Gumoss,Direhowl,Hangyu
Gumoss,Mau Cryst,Gorirat
Gumoss,Mau,Robinquill Terra
Gumoss,Killamari,Woolipop
Gumoss,Fuddler,Kelpsea
Gumoss,Nox,Swee
Gumoss,Cremis,Robinquill
Gumoss,Depresso,Gobfin Ignis
Gumoss,Teafant,Verdash
Gumoss,Hangyu Cryst,Vaelet
Gumoss,Dazzi,Kelpsea Ignis
Gumoss,Beegarde,Flambelle
Gumoss,Fuack,Wixen Noct
Gumoss,Pengullet,Kikit
Gumoss,Vixy,Gorirat Terra
Gumoss,Flopie,Mimog
Gumoss,Jolthog Cryst,Dazzi Noct
Gumoss,Kelpsea Ignis,Ribbuny Botan
Gumoss,Daedream,Smokie
Gumoss,Herbil,Galeclaw
Gumoss,Herbil,Gorirat Terra
Gumoss,Jellroy,Cawgnito
Gumoss,Jelliette,Gobfin
Gumoss,Munchill,Leezpunk Ignis
Gumoss,Finsider,Nox
Gumoss,Fuack Ignis,Woolipop
Gumoss,Finsider Ignis,Fuddler
Gumoss,Killamari Primo,Daedream
Gumoss,Gloopie,Flopie
Gumoss,Turtacle,Jolthog
Gumoss,Turtacle Terra,Sparkit
Vixy,Vixy,Vixy
Vixy,Teafant,Sparkit
Vixy,Chikipi,Foxparks
Vixy,Cattiva,Mau Cryst
Vixy,Lamball,Lifmunk
Vixy,Mau,Hangyu Cryst
Vixy,Mau,Hangyu
Vixy,Cremis,Mau Cryst
Vixy,Teafant,Flambelle
Vixy,Herbil,Cremis
Vixy,Herbil,Vixy
Vixy,Jellroy,Chikipi
Hoocrates,Hoocrates,Hoocrates
Hoocrates,Jolthog Cryst,Hangyu Cryst
Hoocrates,Jolthog Cryst,Hangyu
Hoocrates,Jolthog,Flambelle
Hoocrates,Sparkit,Jolthog
Hoocrates,Fuack,Vixy
Hoocrates,Foxparks,Depresso
Hoocrates,Lifmunk,Pengullet
Hoocrates,Chikipi,Flopie
Hoocrates,Cattiva,Bristla
Hoocrates,Lamball,Ribbuny
Hoocrates,Mau Cryst,Tocotoco
Hoocrates,Mau,Swee
Hoocrates,Cremis,Bristla
Hoocrates,Teafant,Killamari
Hoocrates,Lamball,Foxparks Cryst
Hoocrates,Herbil,Fuack
Hoocrates,Herbil,Munchill
Hoocrates,Jellroy,Depresso
Hoocrates,Jellroy,Jelliette
Hoocrates,Jelliette,Hoocrates
Hoocrates,Munchill,Mau Cryst
Hoocrates,Pengullet Lux,Lamball
Hoocrates,Finsider,Mau
Hoocrates,Fuack Ignis,Teafant
Teafant,Chikipi,Mau
Teafant,Chikipi,Teafant
Teafant,Teafant,Teafant
Depresso,Vixy,Ribbuny
